Order_API_Concurrency,Carts_API_Concurrency,Order_Cores,Order_DB_Cores,Carts_Cores,Carts_D_ Cores,Throghput,Avg.Latency,90th percentile,99th percentile,Error%,Samples
0,10,0.2,0.2,0.2,0.2,4.5,2217,3799,5603,0.00%,672
0,10,0.2,0.2,0.2,0.4,4.3,2345,3801,7895,0.00%,633
0,10,0.2,0.2,0.2,0.6,4.6,2162,3600,5096,0.00%,687
0,10,0.2,0.2,0.4,0.2,10.8,925,1589,2588,0.00%,1597
0,10,0.2,0.2,0.4,0.4,12,828,1495,2587,0.00%,1780
0,10,0.2,0.2,0.4,0.6,11.3,885,1503,2573,0.00%,1677
0,10,0.2,0.2,0.6,0.2,23.5,423,796,1282,0.00%,3499
0,10,0.2,0.2,0.6,0.4,20.3,491,888,1412,0.00%,3002
0,10,0.2,0.2,0.6,0.6,22.8,437,815,1383,0.00%,3366
10,0,0.2,0.2,0.2,0.2,2,5029,8893,12708,0.00%,299
10,0,0.2,0.4,0.2,0.2,2,5061,7698,10673,0.00%,295
10,0,0.2,0.6,0.2,0.2,2.1,4669,7599,10070,0.00%,317
10,0,0.4,0.2,0.2,0.2,5.5,1811,2701,4845,0.00%,824
10,0,0.4,0.4,0.2,0.2,5.9,1685,2803,3911,0.00%,883
10,0,0.4,0.6,0.2,0.2,5.5,1806,2795,4207,0.00%,819
10,0,0.6,0.2,0.2,0.2,11,907,1587,2504,0.00%,1638
10,0,0.6,0.4,0.2,0.2,9.8,1016,1609,2800,0.00%,1450
10,0,0.6,0.6,0.2,0.2,10.5,953,1697,2682,0.00%,1547
5,5,0.2,0.2,0.2,0.2,7.6,1309,2579,5197,0.00%,1137
5,5,0.2,0.2,0.2,0.4,6.4,1566,2799,5001,0.00%,950
5,5,0.2,0.2,0.2,0.6,6.5,1542,2992,4722,0.00%,963
5,5,0.2,0.2,0.4,0.2,11.8,835,2198,4298,0.00%,1788
5,5,0.2,0.2,0.4,0.4,12.3,805,2195,4478,0.00%,1833
5,5,0.2,0.2,0.4,0.6,12.1,813,2189,4300,0.00%,1826
5,5,0.2,0.2,0.6,0.2,25.4,389,505,4100,0.00%,3788
5,5,0.2,0.2,0.6,0.4,23.8,416,691,3603,0.00%,3567
5,5,0.2,0.2,0.6,0.6,23.3,422,604,4096,0.00%,3509
5,5,0.2,0.4,0.2,0.2,5.7,1760,3102,5375,0.00%,841
5,5,0.2,0.4,0.2,0.4,5.8,1715,3090,5195,0.00%,864
5,5,0.2,0.4,0.2,0.6,6,1658,3188,5466,0.00%,893
5,5,0.2,0.4,0.4,0.2,12,827,2199,4396,0.00%,1794
5,5,0.2,0.4,0.4,0.4,12.6,788,2000,4200,0.00%,1878
5,5,0.2,0.4,0.4,0.6,12.6,786,2019,4500,0.00%,1890
5,5,0.2,0.4,0.6,0.2,23.5,421,596,4201,0.00%,3505
5,5,0.2,0.4,0.6,0.4,26.4,376,504,4301,0.00%,3950
5,5,0.2,0.4,0.6,0.6,24,413,674,3708,0.00%,3578
5,5,0.2,0.6,0.2,0.2,5.8,1703,3002,5299,0.00%,874
5,5,0.2,0.6,0.2,0.4,5.8,1712,3090,4989,0.00%,869
5,5,0.2,0.6,0.2,0.6,5.9,1679,3205,5183,0.00%,887
5,5,0.2,0.6,0.4,0.2,12.8,776,2191,4609,0.00%,1902
5,5,0.2,0.6,0.4,0.4,12.5,794,2103,4503,0.00%,1858
5,5,0.2,0.6,0.4,0.6,12.6,791,2095,4708,0.00%,1862
5,5,0.2,0.6,0.6,0.2,24.7,400,598,3898,0.00%,3675
5,5,0.2,0.6,0.6,0.4,21.3,465,792,3990,0.00%,3163
5,5,0.2,0.6,0.6,0.6,26.3,376,592,3906,0.00%,3913
5,5,0.4,0.2,0.2,0.2,8.8,1133,2000,3094,0.00%,1303
5,5,0.4,0.2,0.2,0.4,8.4,1179,2090,3889,0.00%,1260
5,5,0.4,0.2,0.2,0.6,8.5,1173,1988,3374,0.00%,1256
5,5,0.4,0.2,0.4,0.2,16,620,1200,1976,0.00%,2384
5,5,0.4,0.2,0.4,0.4,15.1,660,1206,2197,0.00%,2243
5,5,0.4,0.2,0.4,0.6,16.5,603,1181,1896,0.00%,2460
5,5,0.4,0.2,0.6,0.2,27.5,362,902,1800,0.00%,4076
5,5,0.4,0.2,0.6,0.4,30,332,799,1701,0.00%,4440
5,5,0.4,0.2,0.6,0.6,27.3,365,897,1680,0.00%,4028
5,5,0.4,0.4,0.2,0.2,8.5,1166,1980,3072,0.00%,1277
5,5,0.4,0.4,0.2,0.4,10.5,944,1712,3305,0.00%,1562
5,5,0.4,0.4,0.2,0.6,8.6,1157,1901,3499,0.00%,1281
5,5,0.4,0.4,0.4,0.2,16.4,607,1192,1901,0.00%,2449
5,5,0.4,0.4,0.4,0.4,15.3,649,1195,2102,0.00%,2285
5,5,0.4,0.4,0.4,0.6,17.4,572,1097,1878,0.00%,2579
5,5,0.4,0.4,0.6,0.2,72.1,138,319,1074,0.00%,10705
5,5,0.4,0.4,0.6,0.4,67.6,147,389,956,0.00%,10091
5,5,0.4,0.4,0.6,0.6,80.3,124,293,914,0.00%,11968
5,5,0.4,0.6,0.2,0.2,13.9,718,1407,2713,0.00%,2051
5,5,0.4,0.6,0.2,0.4,25.9,385,788,1505,0.00%,3866
5,5,0.4,0.6,0.2,0.6,31.6,315,691,1495,0.00%,4712
5,5,0.4,0.6,0.4,0.2,68,146,306,644,0.00%,10177
5,5,0.4,0.6,0.4,0.4,73.4,135,298,615,0.00%,10949
5,5,0.4,0.6,0.4,0.6,84.9,117,281,579,0.00%,12679
5,5,0.4,0.6,0.6,0.2,128.4,77,193,484,0.00%,19131
5,5,0.4,0.6,0.6,0.4,134,74,187,412,0.00%,20053
5,5,0.4,0.6,0.6,0.6,140.4,70,181,409,0.00%,20915
5,5,0.6,0.2,0.2,0.2,81.2,122,292,771,0.00%,12137
5,5,0.6,0.2,0.2,0.4,83.4,119,283,704,0.00%,12461
5,5,0.6,0.2,0.2,0.6,89.8,111,210,691,0.00%,13424
5,5,0.6,0.2,0.4,0.2,122.9,80,187,370,0.00%,18393
5,5,0.6,0.2,0.4,0.4,130.9,75,181,334,0.00%,19570
5,5,0.6,0.2,0.4,0.6,23.6,422,780,1316,0.00%,3496
5,5,0.6,0.2,0.6,0.2,32.5,306,585,1014,0.00%,4831
5,5,0.6,0.2,0.6,0.4,42,236,502,992,0.00%,6223
5,5,0.6,0.2,0.6,0.6,37.2,267,519,968,0.00%,5528
5,5,0.6,0.4,0.2,0.2,13.3,746,1592,2985,0.00%,1977
5,5,0.6,0.4,0.2,0.4,14.3,693,1591,2807,0.00%,2132
5,5,0.6,0.4,0.2,0.6,14,709,1506,2895,0.00%,2086
5,5,0.6,0.4,0.4,0.2,21.1,470,800,1407,0.00%,3135
5,5,0.6,0.4,0.4,0.4,23.5,423,726,1310,0.00%,3518
5,5,0.6,0.4,0.4,0.6,38.1,261,516,909,0.00%,5680
5,5,0.6,0.4,0.6,0.2,33.6,296,589,1086,0.00%,4962
5,5,0.6,0.4,0.6,0.4,36.4,273,566,1017,0.00%,5371
5,5,0.6,0.4,0.6,0.6,38.2,260,509,1072,0.00%,5679
5,5,0.6,0.6,0.2,0.2,14.5,682,1487,2816,0.00%,2182
5,5,0.6,0.6,0.2,0.4,14.1,705,1494,2897,0.00%,2103
5,5,0.6,0.6,0.2,0.6,14.2,703,1500,3395,0.00%,2103
5,5,0.6,0.6,0.4,0.2,20.4,488,819,1483,0.00%,3040
5,5,0.6,0.6,0.4,0.4,23.2,429,722,1380,0.00%,3452
5,5,0.6,0.6,0.4,0.6,21.1,471,812,1383,0.00%,3121
5,5,0.6,0.6,0.6,0.2,41.6,238,507,1022,0.00%,6147
5,5,0.6,0.6,0.6,0.4,35,284,579,1022,0.00%,5171
5,5,0.6,0.6,0.6,0.6,41.6,239,501,1004,0.00%,6201
2,8,0.2,0.2,0.2,0.2,6.4,1551,2600,3993,0.00%,953
2,8,0.2,0.2,0.2,0.4,5.5,1798,2996,5881,0.00%,822
